smiles,ic50_nM
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,40.0
c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,137.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,70.0
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,380.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,20000.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,20000.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,4.0
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,12100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,50.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,30.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,480.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,30.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,30.0
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,20000.0
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,20.0
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,700.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,20000.0
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,20.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,600.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,90.0
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,70.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,60.0
Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1,63.0
O=c1[nH]c2ccccc2cc1-c1cc2ccccc2[nH]1,8.0
Cc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,62.0
c1cc(-c2cnc3c(-c4ccsc4)cnn3c2)ccn1,24.0
CN1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,5.0
Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1Cl,265.0
c1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1,71.0
COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,37.0
COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,29.0
Clc1cccc(-c2cnn3cc(-c4ccncc4)cnc23)c1,350.0
c1cc(-c2cnn3cc(C4CCCCC4)cnc23)cs1,280.0
O=S(=O)(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,14.0
C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCCC1,41.0
O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,8.0
NC1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1,5.0
O=c1ccc2ccccc2cc1-c1nc2ccccc2[nH]1,355.0
O=C(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,5.0
O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,11.0
COc1cccc(-c2cnn3cc(-c4ccncc4)cnc23)c1,510.0
COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1,41.0
NC1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1,16.0
Oc1nc2ccccc2cc1-c1cc2cc(OCCN3CCCCC3)ccc2[nH]1,4.0
COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,7.0
c1ccc(-c2cnn3cc(-c4ccccn4)cnc23)cc1,88.0
C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCC1,28.0
O=c1[nH]c2ccccc2cc1-c1nc2ccccc2[nH]1,45.0
COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1,71.0
O=C(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,6.0
Clc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,113.0
CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,4.0
c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1,224.0
COc1ccc(-c2cnc3c(-c4ccccn4)cnn3c2)cc1,1000.0
CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,10.0
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,19.0
O=c1cc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCN1CCCCC1,88.0
O=c1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cn1CCCN1CCCCC1,37.0
COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1,71.0
c1ccc(-n2cnc3cc(-c4ccc(NCCN5CCOCC5)nc4)ccc32)cc1,52.0
c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc32)cc1,37.0
COc1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cc1,113.0
O=c1cc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1,25.0
c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)ccc32)cc1,14.0
O=c1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cn1CCN1CCCCC1,270.0
O=c1nc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1,96.0
c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)nc4)ccc32)cc1,23.0
COc1cc(Cc2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)[C@@H]1C[C@H]1c1ccccc1,50000.0
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,5320.0
